id,productName,category,fullPrice,salePrice,availability,supplier
611,Rocky Mountain Chocolate Factory,3,95.84,24.52,0,59
612,Cracklin' Oat Bran,3,77.11,38.25,1,59
613,Cocoa Krispies,3,97.23,40.42,1,59
614,Huggies,1,50.64,5.35,0,60
615,Kotex,1,90.41,56.05,1,60
616,Kleenex,1,49.3,28.86,1,60
617,Depend,1,99.49,46.83,0,60
618,Poise,1,9.83,1.37,1,60
619,Huggies Pull-ups,1,59,41.55,1,60
620,Scott,1,47.64,10.7,1,60
621,Goodnites,1,96.55,4.81,0,60
622,Kleenex Cottonelle,1,73.06,22.32,1,60
623,Cottonelle,1,83.67,57.46,0,60
624,Viva,1,98.84,53.34,1,60
625,U By Kotex,1,99.86,40.55,1,60
626,Pull-ups,1,33.88,9.62,0,60
627,Kraft,3,88.24,29.68,0,61
628,Oscar Mayer,3,91.5,74.32,1,61
629,Jell-o,3,65.9,48.67,0,61
630,Planters,3,68.57,65.56,0,61
631,Crystal Light,3,16.56,12.16,0,61
632,Maxwell House,3,52.19,11.76,0,61
633,Lunchables,3,91.85,36.49,0,61
634,Nabisco,3,25.19,16.89,0,61
635,Triscuit,3,75.59,23.09,1,61
636,Philadelphia,3,18.57,8.61,1,61
637,Velveeta,3,58.26,34.5,1,61
638,Kool-aid,3,92.21,35.76,1,61
639,Chips Ahoy,3,47.01,2.82,1,61
640,Breakstone's,3,82.27,5.5,0,61
641,Cracker Barrel,3,76.01,74.63,1,61
642,Gevalia,3,91.54,60.47,1,61
643,Mio,3,69.87,65.09,0,61
644,Polly-o,3,67.08,53.87,1,61
645,A.1.,3,83.68,42.34,0,61
646,Taco Bell,3,15.98,7.81,0,61
647,Baker's,3,30.29,26.37,1,61
648,Premium,3,57.39,12.8,0,61
649,Swedish Fish,3,30.6,10.54,1,61
650,Sour Patch,3,84.96,60.36,1,61
651,Lu,3,61.87,41.74,1,61
652,Grey Poupon,3,63.26,19.67,1,61
653,Trident Layers,3,86.64,1.12,0,61
654,Trident White,3,88.99,34.8,1,61
655,Good Seasons,3,19.83,2.7,1,61
656,Milka,3,88.15,12.86,1,61
657,Kool-aid Jammers,3,64.5,12.21,0,61
658,South Beach Living,3,74.03,48.46,1,61
659,Cool Whip,3,65.91,27.11,0,61
660,Country Time,3,88.52,31.89,0,61
661,Miracle Whip,3,78.59,43.11,1,61
662,Temptations By Jell-o,3,49.75,5.38,0,61
663,Tassimo,3,80.86,53.24,0,61
664,Dentyne Pure,3,84.37,29.09,0,61
665,Bull's-eye,3,32.3,20.08,0,61
666,Dentyne Fire,3,62.73,2.33,1,61
667,Cool Whip Frosting,3,75.21,41.16,0,61
668,Knox,3,45.13,32.17,0,61
669,Red Oval Farms,3,83.68,43.05,1,61
670,Barnum's Animals,3,15.53,5.32,1,61
671,Sure Jell,3,62.75,58.26,0,61
672,Stride Shift,3,55.82,29.67,0,61
673,Biscos,3,67.42,48.88,1,61
674,Tang,3,53.66,37.85,0,61
675,Temp Tee,3,91.89,73.02,1,61
676,Bassett's,3,89.68,66.45,0,61
677,Mallomars,3,90.73,84.73,1,61
678,Dream Whip,3,85.81,55.87,0,61
679,Caramels,3,44.32,7.36,1,61
680,Certo,3,31.63,16.29,0,61
681,Mousse Temptations,3,58.11,18.39,0,61
682,Calumet,3,92.91,70.94,0,61
683,Cheez Whiz,3,98.65,1.66,0,61
